 ,Area,Mean,Min,Max
1,63,255,255,255
2,964,255,255,255
3,55,255,255,255
4,92,255,255,255
5,121,255,255,255
6,246,255,255,255
7,102,255,255,255
8,55,255,255,255
9,61,255,255,255
10,101,255,255,255
11,1244,255,255,255
12,100,255,255,255
13,115,255,255,255
14,108,255,255,255
15,143,255,255,255
16,139,255,255,255
17,97,255,255,255
18,290,255,255,255
19,168,255,255,255
20,152,255,255,255
21,158,255,255,255
22,759,255,255,255
23,59,255,255,255
24,461,255,255,255
25,846,255,255,255
26,56,255,255,255
27,277,255,255,255
28,79,255,255,255
29,121,255,255,255
30,86,255,255,255
31,184,255,255,255
32,62,255,255,255
33,70,255,255,255
34,219,255,255,255
35,82,255,255,255
36,196,255,255,255
37,73,255,255,255
38,75,255,255,255
39,157,255,255,255
40,280,255,255,255
41,305,255,255,255
42,204,255,255,255
43,586,255,255,255
44,64,255,255,255
45,211,255,255,255
46,72,255,255,255
47,73,255,255,255
48,96,255,255,255
49,91,255,255,255
50,92,255,255,255
51,139,255,255,255
52,70,255,255,255
53,63,255,255,255
54,90,255,255,255
55,65,255,255,255
56,185,255,255,255
57,134,255,255,255
58,139,255,255,255
59,284,255,255,255
60,72,255,255,255
61,61,255,255,255
62,97,255,255,255
63,141,255,255,255
64,53,255,255,255
65,52,255,255,255
66,103,255,255,255
67,105,255,255,255
68,68,255,255,255
69,64,255,255,255
70,65,255,255,255
71,61,255,255,255
72,253,255,255,255
73,103,255,255,255
74,87,255,255,255
75,348,255,255,255
76,56,255,255,255
77,74,255,255,255
78,57,255,255,255
79,328,255,255,255
80,56,255,255,255
81,58,255,255,255
82,71,255,255,255
83,66,255,255,255
84,161,255,255,255
85,81,255,255,255
86,110,255,255,255
87,75,255,255,255
88,62,255,255,255
89,1464,255,255,255
90,63,255,255,255
91,128,255,255,255
92,118,255,255,255
93,69,255,255,255
94,102,255,255,255
95,83,255,255,255
96,55,255,255,255
97,56,255,255,255
98,243,255,255,255
99,106,255,255,255
100,62,255,255,255
101,54,255,255,255
102,201,255,255,255
103,84,255,255,255
104,976,255,255,255
105,92,255,255,255
106,175,255,255,255
107,121,255,255,255
108,2715,255,255,255
109,420,255,255,255
110,99,255,255,255
111,181,255,255,255
112,62,255,255,255
113,69,255,255,255
114,63,255,255,255
115,125,255,255,255
116,148,255,255,255
117,1775,255,255,255
118,72,255,255,255
119,73,255,255,255
120,52,255,255,255
121,61,255,255,255
122,119,255,255,255
123,64,255,255,255
124,80,255,255,255
125,58,255,255,255
126,79,255,255,255
127,319,255,255,255
128,81,255,255,255
129,77,255,255,255
130,98,255,255,255
131,137,255,255,255
132,74,255,255,255
133,109,255,255,255
134,169,255,255,255
135,76,255,255,255
136,51,255,255,255
137,56,255,255,255
138,84,255,255,255
139,51,255,255,255
140,52,255,255,255
141,63,255,255,255
142,964,255,255,255
143,55,255,255,255
144,92,255,255,255
145,121,255,255,255
146,246,255,255,255
147,102,255,255,255
148,55,255,255,255
149,61,255,255,255
150,101,255,255,255
151,1244,255,255,255
152,100,255,255,255
153,115,255,255,255
154,108,255,255,255
155,143,255,255,255
156,139,255,255,255
157,97,255,255,255
158,290,255,255,255
