 ,Area,Mean,Min,Max
1,10539,255,255,255
2,284,255,255,255
3,397,255,255,255
4,385,255,255,255
5,284,255,255,255
6,468,255,255,255
7,452,255,255,255
8,1016,255,255,255
9,582,255,255,255
10,507,255,255,255
11,273,255,255,255
12,5888,255,255,255
13,821,255,255,255
14,439,255,255,255
15,261,255,255,255
16,340,255,255,255
17,354,255,255,255
18,5067,255,255,255
19,633,255,255,255
20,259,255,255,255
21,445,255,255,255
22,1030,255,255,255
23,392,255,255,255
24,295,255,255,255
25,351,255,255,255
26,842,255,255,255
27,528,255,255,255
28,10538,255,255,255
29,277,255,255,255
30,267,255,255,255
31,290,255,255,255
32,310,255,255,255
33,346,255,255,255
34,373,255,255,255
35,256,255,255,255
36,791,255,255,255
37,775,255,255,255
38,382,255,255,255
39,389,255,255,255
40,291,255,255,255
41,598,255,255,255
42,5587,255,255,255
43,369,255,255,255
44,270,255,255,255
45,7314,255,255,255
46,359,255,255,255
47,9103,255,255,255
48,352,255,255,255
49,269,255,255,255
50,300,255,255,255
51,741,255,255,255
52,258,255,255,255
53,258,255,255,255
54,834,255,255,255
55,511,255,255,255
56,886,255,255,255
57,277,255,255,255
58,1681,255,255,255
59,404,255,255,255
60,333,255,255,255
61,12989,255,255,255
62,395,255,255,255
63,1006,255,255,255
64,598,255,255,255
65,311,255,255,255
66,339,255,255,255
67,5201,255,255,255
68,864,255,255,255
69,3919,255,255,255
70,307,255,255,255
71,689,255,255,255
72,253,255,255,255
73,939,255,255,255
74,488,255,255,255
75,382,255,255,255
76,288,255,255,255
77,284,255,255,255
78,374,255,255,255
79,509,255,255,255
80,1087,255,255,255
81,394,255,255,255
82,9623,255,255,255
83,2087,255,255,255
84,260,255,255,255
85,457,255,255,255
86,700,255,255,255
87,8782,255,255,255
88,301,255,255,255
89,877,255,255,255
90,263,255,255,255
91,537,255,255,255
92,459,255,255,255
93,459,255,255,255
94,607,255,255,255
95,925,255,255,255
96,1093,255,255,255
97,5372,255,255,255
98,1412,255,255,255
99,2142,255,255,255
100,1778,255,255,255
101,1070,255,255,255
102,495,255,255,255
103,703,255,255,255
104,465,255,255,255
105,9421,255,255,255
106,464,255,255,255
107,654,255,255,255
108,508,255,255,255
109,323,255,255,255
110,785,255,255,255
111,382,255,255,255
112,432,255,255,255
113,452,255,255,255
114,298,255,255,255
115,326,255,255,255
116,8159,255,255,255
117,611,255,255,255
118,2150,255,255,255
119,696,255,255,255
120,305,255,255,255
121,342,255,255,255
122,362,255,255,255
123,882,255,255,255
124,484,255,255,255
125,1405,255,255,255
126,1078,255,255,255
127,1776,255,255,255
128,3750,255,255,255
129,782,255,255,255
130,374,255,255,255
131,628,255,255,255
132,458,255,255,255
133,405,255,255,255
134,313,255,255,255
135,261,255,255,255
136,10935,255,255,255
137,293,255,255,255
138,269,255,255,255
139,279,255,255,255
140,611,255,255,255
141,6427,255,255,255
142,366,255,255,255
143,639,255,255,255
144,679,255,255,255
145,407,255,255,255
146,495,255,255,255
147,664,255,255,255
148,1071,255,255,255
149,9341,255,255,255
150,335,255,255,255
151,301,255,255,255
152,854,255,255,255
153,253,255,255,255
154,445,255,255,255
155,4729,255,255,255
156,1597,255,255,255
157,466,255,255,255
158,413,255,255,255
159,254,255,255,255
160,289,255,255,255
161,440,255,255,255
162,819,255,255,255
163,381,255,255,255
164,304,255,255,255
165,330,255,255,255
166,374,255,255,255
167,366,255,255,255
168,4604,255,255,255
169,422,255,255,255
170,573,255,255,255
171,1717,255,255,255
172,2113,255,255,255
173,1087,255,255,255
174,666,255,255,255
175,272,255,255,255
176,260,255,255,255
177,340,255,255,255
178,4755,255,255,255
179,358,255,255,255
180,2607,255,255,255
181,256,255,255,255
182,275,255,255,255
183,319,255,255,255
184,341,255,255,255
185,381,255,255,255
186,758,255,255,255
187,1267,255,255,255
188,2293,255,255,255
189,455,255,255,255
190,1110,255,255,255
191,3632,255,255,255
192,342,255,255,255
193,759,255,255,255
194,400,255,255,255
195,395,255,255,255
196,2821,255,255,255
197,3562,255,255,255
198,366,255,255,255
199,287,255,255,255
200,318,255,255,255
201,996,255,255,255
202,966,255,255,255
203,322,255,255,255
204,266,255,255,255
205,287,255,255,255
206,299,255,255,255
207,251,255,255,255
208,365,255,255,255
209,381,255,255,255
210,4020,255,255,255
211,1541,255,255,255
212,267,255,255,255
213,3454,255,255,255
214,587,255,255,255
215,530,255,255,255
216,387,255,255,255
217,733,255,255,255
218,258,255,255,255
219,432,255,255,255
220,403,255,255,255
221,2601,255,255,255
222,458,255,255,255
223,3579,255,255,255
224,270,255,255,255
225,566,255,255,255
226,270,255,255,255
227,640,255,255,255
228,308,255,255,255
229,350,255,255,255
230,385,255,255,255
231,320,255,255,255
232,407,255,255,255
233,394,255,255,255
234,494,255,255,255
235,862,255,255,255
236,281,255,255,255
237,4060,255,255,255
238,261,255,255,255
239,364,255,255,255
240,691,255,255,255
241,1687,255,255,255
242,275,255,255,255
243,2431,255,255,255
244,552,255,255,255
245,311,255,255,255
246,302,255,255,255
247,268,255,255,255
248,932,255,255,255
249,889,255,255,255
250,285,255,255,255
