Slice,Count,Total Area,Average Size,%Area,Mean
1,24,31411,1308.792,4.908,255
2,22,31503,1431.955,4.922,255
3,17,30597,1799.824,4.781,255
4,22,29653,1347.864,4.633,255
5,18,27975,1554.167,4.371,255
6,19,27135,1428.158,4.240,255
7,17,24372,1433.647,3.808,255
8,14,22443,1603.071,3.507,255
9,22,22661,1030.045,3.541,255
10,18,20508,1139.333,3.204,255
11,23,23068,1002.957,3.604,255
12,30,24945,831.500,3.898,255
13,27,28362,1050.444,4.432,255
14,34,30972,910.941,4.839,255
15,34,36328,1068.471,5.676,255
16,26,38777,1491.423,6.059,255
17,29,42002,1448.345,6.563,255
18,28,46835,1672.679,7.318,255
19,21,46376,2208.381,7.246,255
20,20,47578,2378.900,7.434,255
21,19,50535,2659.737,7.896,255
22,21,50025,2382.143,7.816,255
23,15,49560,3304.000,7.744,255
24,15,49786,3319.067,7.779,255
25,16,50913,3182.062,7.955,255
26,18,52359,2908.833,8.181,255
27,15,52498,3499.867,8.203,255
28,14,52760,3768.571,8.244,255
29,15,52329,3488.600,8.176,255
30,15,52293,3486.200,8.171,255
31,13,52980,4075.385,8.278,255
32,19,53105,2795.000,8.298,255
33,16,53766,3360.375,8.401,255
34,15,53655,3577.000,8.384,255
35,16,54552,3409.500,8.524,255
36,14,55091,3935.071,8.608,255
37,15,54358,3623.867,8.493,255
38,15,55758,3717.200,8.712,255
39,13,56596,4353.538,8.843,255
40,14,55364,3954.571,8.651,255
41,17,55718,3277.529,8.706,255
42,15,55833,3722.200,8.724,255
43,14,55283,3948.786,8.638,255
44,15,55781,3718.733,8.716,255
45,15,55995,3733.000,8.749,255
46,14,54994,3928.143,8.593,255
47,14,55313,3950.929,8.643,255
48,13,54400,4184.615,8.500,255
49,15,54470,3631.333,8.511,255
50,17,55675,3275.000,8.699,255
51,13,56086,4314.308,8.763,255
52,15,55982,3732.133,8.747,255
53,17,56554,3326.706,8.837,255
54,13,55771,4290.077,8.714,255
55,15,56807,3787.133,8.876,255
56,15,55236,3682.400,8.631,255
57,18,55964,3109.111,8.744,255
58,14,55270,3947.857,8.636,255
59,17,55238,3249.294,8.631,255
60,14,55235,3945.357,8.630,255
61,15,56196,3746.400,8.781,255
62,15,53425,3561.667,8.348,255
63,16,54777,3423.562,8.559,255
64,13,54238,4172.154,8.475,255
65,12,54414,4534.500,8.502,255
66,12,54467,4538.917,8.510,255
67,12,54202,4516.833,8.469,255
68,12,54431,4535.917,8.505,255
