Slice,Count,Total Area,Average Size,%Area,Mean
1,140,26668,190.486,1.715,255
2,140,26668,190.486,1.715,255
3,146,26698,182.863,1.717,255
4,152,26053,171.401,1.675,255
5,134,25248,188.418,1.623,255
6,130,22522,173.246,1.448,255
7,129,21216,164.465,1.364,255
8,114,18126,159.000,1.166,255
9,113,17177,152.009,1.104,255
10,140,15944,113.886,1.025,255
11,121,14032,115.967,0.902,255
12,119,13732,115.395,0.883,255
13,123,15622,127.008,1.005,255
14,137,18090,132.044,1.163,255
15,146,23053,157.897,1.482,255
16,145,25772,177.738,1.657,255
17,111,28752,259.027,1.849,255
18,115,30048,261.287,1.932,255
19,106,33404,315.132,2.148,255
20,95,35567,374.389,2.287,255
21,88,38610,438.750,2.483,255
22,73,39357,539.137,2.531,255
23,69,40701,589.870,2.617,255
24,69,41780,605.507,2.686,255
25,81,42625,526.235,2.741,255
26,64,43791,684.234,2.816,255
27,70,42030,600.429,2.703,255
28,71,42833,603.282,2.754,255
29,63,44645,708.651,2.871,255
30,56,45562,813.607,2.930,255
31,67,47630,710.896,3.063,255
32,62,47903,772.629,3.080,255
33,58,48058,828.586,3.090,255
34,49,47877,977.082,3.079,255
35,61,49466,810.918,3.181,255
36,48,48973,1020.271,3.149,255
37,59,49892,845.627,3.208,255
38,59,50204,850.915,3.228,255
39,51,50908,998.196,3.273,255
40,55,49920,907.636,3.210,255
41,58,50832,876.414,3.269,255
42,53,50045,944.245,3.218,255
43,51,50698,994.078,3.260,255
44,52,50870,978.269,3.271,255
45,53,51701,975.491,3.324,255
46,44,51233,1164.386,3.294,255
47,48,50762,1057.542,3.264,255
48,49,51111,1043.082,3.286,255
49,56,51147,913.339,3.289,255
50,54,51090,946.111,3.285,255
51,50,50467,1009.340,3.245,255
52,47,51789,1101.894,3.330,255
53,60,51598,859.967,3.318,255
54,39,52394,1343.436,3.369,255
55,49,50944,1039.673,3.276,255
56,48,50901,1060.438,3.273,255
57,44,51623,1173.250,3.319,255
58,49,51576,1052.571,3.316,255
59,55,51553,937.327,3.315,255
60,52,51620,992.692,3.319,255
61,43,51616,1200.372,3.319,255
62,48,51637,1075.771,3.320,255
63,44,51913,1179.841,3.338,255
64,37,52206,1410.973,3.357,255
65,36,52240,1451.111,3.359,255
66,32,52533,1641.656,3.378,255
67,38,52247,1374.921,3.360,255
68,44,52527,1193.795,3.378,255
69,40,52428,1310.700,3.371,255
70,46,52354,1138.130,3.366,255
71,47,53189,1131.681,3.420,255
72,40,53510,1337.750,3.441,255
73,46,52899,1149.978,3.401,255
74,50,53866,1077.320,3.464,255
75,42,53509,1274.024,3.441,255
76,42,53489,1273.548,3.439,255
77,40,53008,1325.200,3.408,255
78,30,53241,1774.700,3.423,255
79,31,52250,1685.484,3.360,255
80,29,51435,1773.621,3.307,255
81,25,52507,2100.280,3.376,255
82,33,51715,1567.121,3.325,255
83,26,52213,2008.192,3.357,255
84,34,52420,1541.765,3.371,255
85,33,51049,1546.939,3.282,255
86,33,50055,1516.818,3.219,255
87,38,50729,1334.974,3.262,255
88,21,51151,2435.762,3.289,255
89,27,49712,1841.185,3.197,255
90,33,48824,1479.515,3.139,255
91,30,47837,1594.567,3.076,255
92,38,48534,1277.211,3.121,255
93,31,49013,1581.065,3.152,255
94,33,49625,1503.788,3.191,255
95,42,50831,1210.262,3.268,255
96,44,51119,1161.795,3.287,255
97,32,50967,1592.719,3.277,255
98,35,51267,1464.771,3.296,255
99,51,51240,1004.706,3.295,255
100,38,52141,1372.132,3.353,255
101,52,53332,1025.615,3.429,255
102,45,53081,1179.578,3.413,255
103,50,52316,1046.320,3.364,255
